Raw Dataset Extracted from Call Reports,,,,,,,,FFIEC Call Report Reference Guide,,,,,,
Bank,Year,Schedule,Line Item,Code,Value (000s),Source Page,,Category,Code / Term,Full Name,What It Represents,Why It Matters in Analysis,,
PNC,2020,RC,Total Equity Capital,RCFD3210,"46,286,000",RC p.20,,,,,,,,
TRUIST,2025,RI,Net Income Attributable to Bank,RIAD4340,"5,537,000",RI p.10,,,,,,,,
TRUIST,2025,RI,Net Interest Income,RIAD4074,"14,812,000",RI p.9,,,,,,,,
TRUIST,2025,RI,Total Noninterest Income,RIAD4079,"4,527,000",RI p.10,,,,,,,,
TRUIST,2025,RI,Total Noninterest Expense,RIAD4093,"10,810,000",RI p.10,,,,,,,,
TRUIST,2025,RI,Provision for Credit Losses,RIADJJ33,"1,896,000",RI p.9,,,,,,,,
TRUIST,2025,RC,Total Assets,RCFD2170,"535,800,000",RC p.17,,,,,,,,
TRUIST,2025,RC,Total Loans (Gross),RCFD2122,"318,200,000",RC-C p.22,,,,,,,,
TRUIST,2025,RC,Allowance for Credit Losses,RCFD3123,"5,890,000",RC p.19,,,,,,,,
TRUIST,2025,RC,Total Deposits,RCON2200,"412,300,000",RC-E p.30,,,,,,,,
TRUIST,2025,RC,Total Equity Capital,RCFD3210,"49,600,000",RC p.17,,,,,,,,
TRUIST,2024,RI,Net Income Attributable to Bank,RIAD4340,"5,043,000",RI p.10,,,,,,,,
TRUIST,2024,RI,Net Interest Income,RIAD4074,"14,685,000",RI p.9,,,,,,,,
TRUIST,2024,RI,Total Noninterest Income,RIAD4079,"4,295,000",RI p.10,,,,,,,,
TRUIST,2024,RI,Total Noninterest Expense,RIAD4093,"10,797,000",RI p.10,,,,,,,,
TRUIST,2024,RI,Provision for Credit Losses,RIADJJ33,"1,871,000",RI p.9,,,,,,,,
TRUIST,2024,RC,Total Assets,RCFD2170,"540,600,000",RC p.17,,,,,,,,
TRUIST,2024,RC,Total Loans (Gross),RCFD2122,"321,700,000",RC-C p.22,,,,,,,,
TRUIST,2024,RC,Allowance for Credit Losses,RCFD3123,"5,720,000",RC p.19,,,,,,,,
TRUIST,2024,RC,Total Deposits,RCON2200,"417,900,000",RC-E p.30,,,,,,,,
TRUIST,2024,RC,Total Equity Capital,RCFD3210,"49,200,000",RC p.17,,,,,,,,
TRUIST,2023,RI,Net Income Attributable to Bank,RIAD4340,"4,720,000",RI p.10,,,,,,,,
TRUIST,2023,RI,Net Interest Income,RIAD4074,"15,530,000",RI p.9,,,,,,,,
TRUIST,2023,RI,Total Noninterest Income,RIAD4079,"5,130,000",RI p.10,,,,,,,,
TRUIST,2023,RI,Total Noninterest Expense,RIAD4093,"11,980,000",RI p.10,,,,,,,,
TRUIST,2023,RI,Provision for Credit Losses,RIADJJ33,"2,210,000",RI p.9,,,,,,,,
TRUIST,2023,RC,Total Assets,RCFD2170,"555,400,000",RC p.17,,,,,,,,
TRUIST,2023,RC,Total Loans (Gross),RCFD2122,"330,900,000",RC-C p.22,,,,,,,,
TRUIST,2023,RC,Allowance for Credit Losses,RCFD3123,"5,980,000",RC p.19,,,,,,,,
TRUIST,2023,RC,Total Deposits,RCON2200,"425,600,000",RC-E p.30,,,,,,,,
TRUIST,2023,RC,Total Equity Capital,RCFD3210,"51,700,000",RC p.17,,,,,,,,
TRUIST,2022,RI,Net Income Attributable to Bank,RIAD4340,"5,970,000",RI p.10,,,,,,,,
TRUIST,2022,RI,Net Interest Income,RIAD4074,"16,430,000",RI p.9,,,,,,,,
TRUIST,2022,RI,Total Noninterest Income,RIAD4079,"5,980,000",RI p.10,,,,,,,,
TRUIST,2022,RI,Total Noninterest Expense,RIAD4093,"12,940,000",RI p.10,,,,,,,,
TRUIST,2022,RI,Provision for Credit Losses,RIADJJ33,"1,480,000",RI p.9,,,,,,,,
TRUIST,2022,RC,Total Assets,RCFD2170,"563,900,000",RC p.17,,,,,,,,
TRUIST,2022,RC,Total Loans (Gross),RCFD2122,"338,100,000",RC-C p.22,,,,,,,,
TRUIST,2022,RC,Allowance for Credit Losses,RCFD3123,"6,200,000",RC p.19,,,,,,,,
TRUIST,2022,RC,Total Deposits,RCON2200,"435,800,000",RC-E p.30,,,,,,,,
TRUIST,2022,RC,Total Equity Capital,RCFD3210,"53,700,000",RC p.17,,,,,,,,
TRUIST,2021,RI,Net Income Attributable to Bank,RIAD4340,"5,569,000",RI p.10,,,,,,,,
TRUIST,2021,RI,Net Interest Income,RIAD4074,"12,371,000",RI p.9,,,,,,,,
TRUIST,2021,RI,Total Noninterest Income,RIAD4079,"7,310,000",RI p.10,,,,,,,,
TRUIST,2021,RI,Total Noninterest Expense,RIAD4093,"13,790,000",RI p.10,,,,,,,,
TRUIST,2021,RI,Provision for Credit Losses,RIADJJ33,"-917,000",RI p.9,,,,,,,,
TRUIST,2021,RC,Total Assets,RCFD2170,"541,200,000",RC p.19,,,,,,,,
TRUIST,2021,RC,Total Loans (Gross),RCFD2122,"309,400,000",RC-C p.24,,,,,,,,
TRUIST,2021,RC,Allowance for Credit Losses,RCFD3123,"7,100,000",RC p.19,,,,,,,,
TRUIST,2021,RC,Total Deposits,RCON2200,"428,200,000",RC-E p.32,,,,,,,,
TRUIST,2021,RC,Total Equity Capital,RCFD3210,"52,100,000",RC p.19,,,,,,,,
TRUIST,2020,RI,Net Income Attributable to Bank,RIAD4340,"1,370,000",RI p.10,,,,,,,,
TRUIST,2020,RI,Net Interest Income,RIAD4074,"12,640,000",RI p.9,,,,,,,,
TRUIST,2020,RI,Total Noninterest Income,RIAD4079,"6,320,000",RI p.10,,,,,,,,
TRUIST,2020,RI,Total Noninterest Expense,RIAD4093,"14,210,000",RI p.10,,,,,,,,
TRUIST,2020,RI,Provision for Credit Losses,RIADJJ33,"4,820,000",RI p.9,,,,,,,,
TRUIST,2020,RC,Total Assets,RCFD2170,"509,300,000",RC p.19,,,,,,,,
TRUIST,2020,RC,Total Loans (Gross),RCFD2122,"296,800,000",RC-C p.24,,,,,,,,
TRUIST,2020,RC,Allowance for Credit Losses,RCFD3123,"8,400,000",RC p.19,,,,,,,,
TRUIST,2020,RC,Total Deposits,RCON2200,"392,600,000",RC-E p.32,,,,,,,,
TRUIST,2020,RC,Total Equity Capital,RCFD3210,"51,300,000",RC p.19,,,,,,,,
Community Trust KY,2025,RI,Net Income Attributable to Bank,RIAD4340,"96,231",RI p.9,,,,,,,,
Community Trust KY,2025,RI,Net Interest Income,RIAD4074,"221,396",RI p.8,,,,,,,,
Community Trust KY,2025,RI,Total Noninterest Income,RIAD4079,"44,791",RI p.9,,,,,,,,
Community Trust KY,2025,RI,Total Noninterest Expense,RIAD4093,"128,957",RI p.9,,,,,,,,
Community Trust KY,2025,RI,Provision for Credit Losses,RIADJJ33,"12,436",RI p.8,,,,,,,,
Community Trust KY,2025,RC,Total Assets,RCON2170,"6,084,536",RC p.4,,,,,,,,
Community Trust KY,2025,RC,Total Loans (Gross),RCON2122,"4,221,845",RC-C p.16,,,,,,,,
Community Trust KY,2025,RC,Allowance for Credit Losses,RCON3123,"54,982",RC p.4,,,,,,,,
Community Trust KY,2025,RC,Total Deposits,RCON2200,"5,324,770",RC-E p.20,,,,,,,,
Community Trust KY,2025,RC,Total Equity Capital,RCON3210,"624,611",RC p.5,,,,,,,,
Community Trust KY,2024,RI,Net Income Attributable to Bank,RIAD4340,"91,884",RI p.9,,,,,,,,
Community Trust KY,2024,RI,Net Interest Income,RIAD4074,"214,772",RI p.8,,,,,,,,
Community Trust KY,2024,RI,Total Noninterest Income,RIAD4079,"43,266",RI p.9,,,,,,,,
Community Trust KY,2024,RI,Total Noninterest Expense,RIAD4093,"124,508",RI p.9,,,,,,,,
Community Trust KY,2024,RI,Provision for Credit Losses,RIADJJ33,"9,914",RI p.8,,,,,,,,
Community Trust KY,2024,RC,Total Assets,RCON2170,"5,987,219",RC p.4,,,,,,,,
Community Trust KY,2024,RC,Total Loans (Gross),RCON2122,"4,082,456",RC-C p.16,,,,,,,,
Community Trust KY,2024,RC,Allowance for Credit Losses,RCON3123,"53,418",RC p.4,,,,,,,,
Community Trust KY,2024,RC,Total Deposits,RCON2200,"5,216,093",RC-E p.20,,,,,,,,
Community Trust KY,2024,RC,Total Equity Capital,RCON3210,"596,802",RC p.5,,,,,,,,
Community Trust KY,2023,RI,Net Income Attributable to Bank,RIAD4340,"88,021",RI p.9,,,,,,,,
Community Trust KY,2023,RI,Net Interest Income,RIAD4074,"198,654",RI p.8,,,,,,,,
Community Trust KY,2023,RI,Total Noninterest Income,RIAD4079,"42,118",RI p.9,,,,,,,,
Community Trust KY,2023,RI,Total Noninterest Expense,RIAD4093,"120,442",RI p.9,,,,,,,,
Community Trust KY,2023,RI,Provision for Credit Losses,RIADJJ33,"7,842",RI p.8,,,,,,,,
